,coordinates,geo_id,geo_id_washed,type,venue_category_id,venue_category_name
76,"[139.7685357928276,35.67715631645931]",189,76,Point,4bf58dd8d48988d10f941735,Indian Restaurant
77,"[139.74133014678955,35.6666581598653]",190,77,Point,5032792091d4c4b30a586d5c,Concert Hall
78,"[139.71064031124115,35.649070981401835]",191,78,Point,4bf58dd8d48988d1e9931735,Music Venue
79,"[139.71594783165523,35.66120236169291]",192,79,Point,4bf58dd8d48988d1e7931735,Music Venue
80,"[139.69528198242188,35.66066980090567]",194,80,Point,4bf58dd8d48988d17e941735,Movie Theater
81,"[139.6952927112579,35.66080055589748]",195,81,Point,5032792091d4c4b30a586d5c,Concert Hall
82,"[139.69756186008453,35.66099015025527]",196,82,Point,4bf58dd8d48988d1e9931735,Music Venue
83,"[139.70262050628662,35.69533416620789]",198,83,Point,4bf58dd8d48988d1e5931735,Music Venue
84,"[139.69788640737534,35.662472021679726]",204,84,Point,5032792091d4c4b30a586d5c,Concert Hall
85,"[139.70630926865937,35.66942388687327]",205,85,Point,5032792091d4c4b30a586d5c,Concert Hall
86,"[139.70069736242294,35.69633182375299]",207,86,Point,4bf58dd8d48988d1e9931735,Music Venue
87,"[139.69911687076092,35.664416936188154]",210,87,Point,4bf58dd8d48988d1e5931735,Music Venue
88,"[139.73131150801083,35.664165112079644]",213,88,Point,4bf58dd8d48988d1e5931735,Music Venue
89,"[139.71287727355957,35.73169485589919]",214,89,Point,4bf58dd8d48988d122951735,Electronics Store
90,"[139.76818710565567,35.6781683633928]",217,90,Point,4bf58dd8d48988d114951735,Bookstore
91,"[139.701376014661,35.68938724252017]",219,91,Point,4bf58dd8d48988d1fd941735,Mall
92,"[139.70171,35.68979]",223,92,Point,4bf58dd8d48988d103951735,Clothing Store
93,"[139.70258563756943,35.68920417978175]",227,93,Point,4bf58dd8d48988d1f2941735,Sporting Goods Shop
94,"[139.70648288726807,35.66775641276613]",228,94,Point,4bf58dd8d48988d128951735,Gift Shop
95,"[139.76401168,35.670136]",234,95,Point,4bf58dd8d48988d1f6941735,Department Store
96,"[139.7105222940445,35.663759919947324]",239,96,Point,4bf58dd8d48988d118951735,Food & Drink Shop
97,"[139.7391574091406,35.65571818069579]",240,97,Point,4bf58dd8d48988d1f9941735,Food & Drink Shop
98,"[139.72409963607788,35.65105872282505]",241,98,Point,4bf58dd8d48988d1f9941735,Food & Drink Shop
99,"[139.70212697982788,35.687417812220446]",246,99,Point,4bf58dd8d48988d1fd941735,Mall
100,"[139.70021188259125,35.6611753856873]",250,100,Point,4bf58dd8d48988d128951735,Gift Shop
101,"[139.6987098455429,35.65958452621023]",251,101,Point,4bf58dd8d48988d108951735,Clothing Store
102,"[139.71008509397507,35.647502766724706]",258,102,Point,4bf58dd8d48988d1f2941735,Sporting Goods Shop
103,"[139.7716694307898,35.700664706998516]",259,103,Point,4bf58dd8d48988d122951735,Electronics Store
104,"[139.64986145496368,35.70537552095303]",261,104,Point,4bf58dd8d48988d129951735,Train Station
105,"[139.695591,35.658509]",262,105,Point,4bf58dd8d48988d1e5931735,Music Venue
106,"[139.7240298986435,35.67278116288847]",267,106,Point,4bf58dd8d48988d1fd931735,Subway
107,"[139.6758198738098,35.73736872779667]",272,107,Point,4bf58dd8d48988d1ae941735,University
108,"[139.6986722946167,35.64326004138373]",273,108,Point,4bf58dd8d48988d116941735,Bar
109,"[139.683963,35.604373]",274,109,Point,4bf58dd8d48988d1ae941735,University
110,"[139.6102237701416,35.59974085378926]",275,110,Point,4bf58dd8d48988d129951735,Train Station
111,"[139.62661743164062,35.6114994740578]",276,111,Point,4bf58dd8d48988d129951735,Train Station
112,"[139.7058928012848,35.6900319950868]",277,112,Point,4bf58dd8d48988d16d941735,Café
113,"[139.66731928288937,35.59688925890996]",279,113,Point,4bf58dd8d48988d129951735,Train Station
114,"[139.6761605356562,35.677054094802386]",281,114,Point,4bf58dd8d48988d129951735,Train Station
115,"[139.64344292879105,35.66824452031676]",282,115,Point,4bf58dd8d48988d1f9931735,Road
116,"[139.70742970705032,35.69793937668257]",284,116,Point,4bf58dd8d48988d1fd931735,Subway
117,"[139.69872904094768,35.68643133795223]",285,117,Point,4bf58dd8d48988d1e0931735,Coffee Shop
118,"[139.7013260344949,35.65852172695124]",287,118,Point,4bf58dd8d48988d129951735,Train Station
119,"[139.7633993625641,35.669979021216044]",288,119,Point,4bf58dd8d48988d103951735,Clothing Store
120,"[139.68725681304932,35.715088946912665]",289,120,Point,4bf58dd8d48988d129951735,Train Station
121,"[139.65351730845433,35.719675535469285]",290,121,Point,4bf58dd8d48988d129951735,Train Station
122,"[139.6829116344452,35.697926307277214]",291,122,Point,4bf58dd8d48988d1fd931735,Subway
123,"[139.72621321678162,35.66656663810825]",292,123,Point,4bf58dd8d48988d1fd931735,Subway
124,"[139.69576478004456,35.532942167026505]",293,124,Point,4bf58dd8d48988d1fd941735,Mall
125,"[139.67971444129944,35.66898975019524]",295,125,Point,4bf58dd8d48988d129951735,Train Station
126,"[139.69355195760727,35.67872285944549]",296,126,Point,4bf58dd8d48988d129951735,Train Station
127,"[139.73096072673798,35.6657865198251]",297,127,Point,4bf58dd8d48988d1fd941735,Mall
128,"[139.69101029976176,35.685766841531574]",298,128,Point,4bf58dd8d48988d130941735,Building
129,"[139.72747653722763,35.66075915017324]",302,129,Point,4bf58dd8d48988d1e5931735,Music Venue
130,"[139.76326691569767,35.67493075522223]",303,130,Point,4bf58dd8d48988d129951735,Train Station
131,"[139.7920119902445,35.70416025866323]",306,131,Point,4bf58dd8d48988d1fd931735,Subway
132,"[139.77175176143646,35.700426881163665]",307,132,Point,4bf58dd8d48988d114951735,Bookstore
133,"[139.51322972774506,35.72614905018888]",310,133,Point,4bf58dd8d48988d129951735,Train Station
134,"[139.63486790657043,35.536940832577606]",311,134,Point,4bf58dd8d48988d129951735,Train Station
135,"[139.76749375462532,35.67218849415906]",313,135,Point,4bf58dd8d48988d1e0931735,Coffee Shop
136,"[139.7608780860901,35.665267889485456]",314,136,Point,4bf58dd8d48988d1e0931735,Coffee Shop
137,"[139.73212469669195,35.66318884920453]",315,137,Point,4bf58dd8d48988d1fd931735,Subway
138,"[139.75096464157104,35.673892404894445]",316,138,Point,4bf58dd8d48988d1fd931735,Subway
139,"[139.75975155830383,35.67514525722818]",317,139,Point,4bf58dd8d48988d1fd931735,Subway
140,"[139.74042892456055,35.63014572966312]",319,140,Point,4bf58dd8d48988d129951735,Train Station
141,"[139.7188425064087,35.72644736208901]",322,141,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
142,"[139.71950232982635,35.70905630819684]",325,142,Point,4bf58dd8d48988d1ae941735,University
143,"[139.72343981266022,35.62645040122807]",326,143,Point,4bf58dd8d48988d129951735,Train Station
144,"[139.7064520418644,35.667732443122034]",329,144,Point,4bf58dd8d48988d16d941735,Café
145,"[139.77229356765747,35.698815021961416]",330,145,Point,4bf58dd8d48988d1c4941735,Restaurant
146,"[139.77600352147132,35.71232433701704]",332,146,Point,4bf58dd8d48988d14e941735,American Restaurant
147,"[139.71897661685944,35.72695253005829]",336,147,Point,4bf58dd8d48988d137941735,Theater
148,"[139.77110266685486,35.69949897700794]",337,148,Point,4bf58dd8d48988d114951735,Bookstore
149,"[139.7076791524887,35.69769759233686]",338,149,Point,4bf58dd8d48988d16e941735,Fast Food Restaurant
150,"[139.60113912820816,35.66822490891021]",339,150,Point,4bf58dd8d48988d129951735,Train Station
151,"[139.6318370103836,35.66761259479359]",340,151,Point,4bf58dd8d48988d129951735,Train Station
152,"[139.66725826263428,35.67374424018757]",341,152,Point,4bf58dd8d48988d129951735,Train Station
153,"[139.77159141006314,35.69854452748974]",344,153,Point,4bf58dd8d48988d147941735,Diner
154,"[139.68643605709076,35.68357916512913]",345,154,Point,4bf58dd8d48988d1e5931735,Music Venue
155,"[139.7292709350586,35.66046930950242]",346,155,Point,4bf58dd8d48988d124941735,Office
156,"[139.70033526420593,35.65772775698564]",347,156,Point,4bf58dd8d48988d1e0931735,Coffee Shop
157,"[139.67065930366516,35.64356520253678]",348,157,Point,4bf58dd8d48988d129951735,Train Station
158,"[139.75967493264488,35.66697477395476]",349,158,Point,4bf58dd8d48988d1e0931735,Coffee Shop
159,"[139.7295754124593,35.66083291735734]",350,159,Point,4bf58dd8d48988d1e0931735,Coffee Shop
160,"[139.69790518283844,35.689809792874755]",352,160,Point,4bf58dd8d48988d122951735,Electronics Store
161,"[139.6732234954834,35.66559911597348]",353,161,Point,4bf58dd8d48988d129951735,Train Station
162,"[139.71667528152466,35.671957526477264]",361,162,Point,4bf58dd8d48988d171941735,Event Space
163,"[139.73702788352966,35.65578812800746]",362,163,Point,4bf58dd8d48988d1fd931735,Subway
164,"[139.75995540618896,35.66291875693454]",364,164,Point,4bf58dd8d48988d1fd931735,Subway
165,"[139.66579914093018,35.70582855009322]",365,165,Point,4bf58dd8d48988d129951735,Train Station
166,"[139.8356580734253,35.68985771889442]",366,166,Point,4bf58dd8d48988d1fd931735,Subway
167,"[139.66747283935547,35.66158508135192]",367,167,Point,4bf58dd8d48988d129951735,Train Station
168,"[139.699809551239,35.66184658812384]",371,168,Point,4bf58dd8d48988d122951735,Electronics Store
169,"[139.79738,35.687564]",372,169,Point,4bf58dd8d48988d1fd931735,Subway
170,"[139.7450315952301,35.70230879446056]",373,170,Point,4bf58dd8d48988d129951735,Train Station
171,"[139.79459240917177,35.67232990278721]",374,171,Point,4bf58dd8d48988d1fd931735,Subway
172,"[139.83066111803055,35.66882850221484]",375,172,Point,4bf58dd8d48988d1fd931735,Subway
173,"[139.66735012829304,35.65828402952522]",376,173,Point,4bf58dd8d48988d1e5931735,Music Venue
174,"[139.63537216186523,35.70477438215786]",377,174,Point,4bf58dd8d48988d129951735,Train Station
175,"[139.83500361442566,35.67180064238771]",378,175,Point,4bf58dd8d48988d175941735,Gym / Fitness Center
176,"[139.77882742881775,35.72047220136041]",379,176,Point,4bf58dd8d48988d129951735,Train Station
177,"[139.77625729052917,35.71341210736137]",380,177,Point,4bf58dd8d48988d129951735,Train Station
178,"[139.77461636066437,35.70735750443432]",381,178,Point,4bf58dd8d48988d129951735,Train Station
179,"[139.77301824864617,35.698596195264464]",382,179,Point,4bf58dd8d48988d129951735,Train Station
180,"[139.7708773612976,35.691670172683054]",383,180,Point,4bf58dd8d48988d129951735,Train Station
181,"[139.7784203457596,35.69070402187532]",385,181,Point,4bf58dd8d48988d129951735,Train Station
182,"[139.79252815246582,35.6961052825236]",386,182,Point,4bf58dd8d48988d129951735,Train Station
183,"[139.81394290924072,35.6964320244761]",387,183,Point,4bf58dd8d48988d129951735,Train Station
184,"[139.615666,35.655454]",389,184,Point,4bf58dd8d48988d16a941735,Bakery
185,"[139.79130506515503,35.72949574082487]",394,185,Point,4bf58dd8d48988d1fd931735,Subway
186,"[139.7987953514012,35.73300691403998]",395,186,Point,4bf58dd8d48988d129951735,Train Station
187,"[139.7038972377777,35.712902440367635]",402,187,Point,4bf58dd8d48988d129951735,Train Station
188,"[139.70764696598053,35.65486406347791]",403,188,Point,4bf58dd8d48988d118951735,Food & Drink Shop
189,"[139.76361393928528,35.68691239365025]",404,189,Point,4bf58dd8d48988d1fd931735,Subway
190,"[139.68593400363534,35.777447214721604]",405,190,Point,4bf58dd8d48988d1fd931735,Subway
191,"[139.73193168640137,35.65899611810063]",406,191,Point,4bf58dd8d48988d1e0931735,Coffee Shop
192,"[139.73073001294588,35.66566951514002]",407,192,Point,4bf58dd8d48988d1e0931735,Coffee Shop
193,"[139.72780108451843,35.664923586811014]",408,193,Point,4bf58dd8d48988d111941735,Japanese Restaurant
194,"[139.74307894706726,35.66851036335235]",409,194,Point,4bf58dd8d48988d12c951735,Embassy / Consulate
195,"[139.65325713157654,35.64662546850558]",410,195,Point,4bf58dd8d48988d129941735,Government Building
196,"[139.68115210533142,35.775455497169304]",411,196,Point,4bf58dd8d48988d1f9931735,Road
197,"[139.772559,35.69917443]",413,197,Point,4bf58dd8d48988d124941735,Office
198,"[139.7737741470337,35.69781521724527]",415,198,Point,4bf58dd8d48988d1e0931735,Coffee Shop
199,"[139.72083806991577,35.77806243973507]",416,199,Point,4bf58dd8d48988d129951735,Train Station
200,"[139.72088098526,35.77801891885791]",417,200,Point,4bf58dd8d48988d1e0931735,Coffee Shop
201,"[139.6944746375084,35.65573364336717]",418,201,Point,4bf58dd8d48988d10f941735,Indian Restaurant
202,"[139.70974363240617,35.729675285117914]",419,202,Point,4bf58dd8d48988d1f6941735,Department Store
203,"[139.73538100719452,35.65558762434797]",423,203,Point,4bf58dd8d48988d1c1941735,Mexican Restaurant
204,"[139.66502130031586,35.74980802803315]",426,204,Point,4bf58dd8d48988d1fd931735,Subway
205,"[139.68100726604462,35.64175165628107]",427,205,Point,4bf58dd8d48988d1c5941735,Sandwich Place
206,"[139.71551656723022,35.63367738834909]",433,206,Point,4bf58dd8d48988d129951735,Train Station
207,"[139.731791,35.658307]",437,207,Point,4bf58dd8d48988d142941735,Asian Restaurant
208,"[139.703914073132,35.65752404727952]",446,208,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
209,"[139.6688391408238,35.60753807817138]",456,209,Point,4bf58dd8d48988d129951735,Train Station
210,"[139.6157852,35.653623]",459,210,Point,4bf58dd8d48988d103951735,Clothing Store
211,"[139.69379536807537,35.69192885789102]",461,211,Point,4bf58dd8d48988d130941735,Building
212,"[139.79350984096527,35.6969090653226]",463,212,Point,4bf58dd8d48988d184941735,Stadium
213,"[139.73904490470886,35.66558604126973]",466,213,Point,4bf58dd8d48988d1fd931735,Subway
214,"[139.62407939136028,35.64734964890964]",467,214,Point,4bf58dd8d48988d129951735,Train Station
215,"[139.63663816452026,35.6513682132017]",468,215,Point,4bf58dd8d48988d129951735,Train Station
216,"[139.7536039352417,35.70846826483773]",469,216,Point,4bf58dd8d48988d1fd931735,Subway
217,"[139.75144743919373,35.70734443657273]",470,217,Point,4bf58dd8d48988d1fd931735,Subway
218,"[139.6843063831329,35.68978365139734]",472,218,Point,4bf58dd8d48988d1fd931735,Subway
219,"[139.6983144470747,35.695345470563026]",473,219,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
220,"[139.72855277359486,35.619699172885795]",474,220,Point,4bf58dd8d48988d129951735,Train Station
221,"[139.6824637055397,35.67042353547993]",477,221,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
222,"[139.7274899482727,35.71897398583766]",478,222,Point,4bf58dd8d48988d1fd931735,Subway
223,"[139.73347127437592,35.709470113886056]",479,223,Point,4bf58dd8d48988d1fd931735,Subway
224,"[139.74125050927037,35.67160123480196]",480,224,Point,4bf58dd8d48988d1fd931735,Subway
225,"[139.754547162523,35.65686825257085]",481,225,Point,4bf58dd8d48988d1fd931735,Subway
226,"[139.74764726435217,35.670741121372096]",482,226,Point,4bf58dd8d48988d16e941735,Fast Food Restaurant
227,"[139.70635088,35.72056]",486,227,Point,4bf58dd8d48988d129951735,Train Station
228,"[139.76033627986908,35.69422757948469]",487,228,Point,4bf58dd8d48988d1e0931735,Coffee Shop
229,"[139.60586786270142,35.67341304749528]",488,229,Point,4bf58dd8d48988d1d2941735,Sushi Restaurant
230,"[139.60892289876938,35.62279741755344]",489,230,Point,4bf58dd8d48988d147941735,Diner
231,"[139.62694329041332,35.61358845218084]",490,231,Point,4bf58dd8d48988d1fd941735,Mall
232,"[139.61551536477887,35.65341849928972]",491,232,Point,4bf58dd8d48988d1ed941735,Spa / Massage
233,"[139.7396017557681,35.73346238170675]",492,233,Point,4bf58dd8d48988d129951735,Train Station
234,"[139.7109031677246,35.648329924793245]",494,234,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
235,"[139.7111177444458,35.64831248808437]",495,235,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
236,"[139.70469117164612,35.653382050871734]",496,236,Point,4bf58dd8d48988d11f941735,Bar
237,"[139.67858791351318,35.7437954343205]",497,237,Point,4bf58dd8d48988d129951735,Train Station
238,"[139.69869375228882,35.7332058958136]",498,238,Point,4bf58dd8d48988d129951735,Train Station
239,"[139.7109555727517,35.729864636451765]",499,239,Point,4bf58dd8d48988d129951735,Train Station
240,"[139.73216235637665,35.65881741552013]",500,240,Point,4bf58dd8d48988d114951735,Bookstore
241,"[139.81417894363403,35.69642331137472]",501,241,Point,4bf58dd8d48988d122951735,Electronics Store
242,"[139.8125186562538,35.69727065602636]",502,242,Point,4bf58dd8d48988d103951735,Clothing Store
243,"[139.50759172439575,35.60375363356726]",504,243,Point,4bf58dd8d48988d129951735,Train Station
244,"[139.6199870109558,35.704621918699345]",505,244,Point,4bf58dd8d48988d129951735,Train Station
245,"[139.71950568258762,35.725682527331706]",506,245,Point,4bf58dd8d48988d1fd931735,Subway
246,"[139.70206260681152,35.68417610648677]",507,246,Point,4bf58dd8d48988d129951735,Train Station
247,"[139.6955121779099,35.69168062490981]",508,247,Point,4bf58dd8d48988d130941735,Building
248,"[139.73648018546973,35.648348307313725]",509,248,Point,4bf58dd8d48988d1ae941735,University
249,"[139.67172145843506,35.55137976854632]",510,249,Point,4bf58dd8d48988d129951735,Train Station
250,"[139.7385459398638,35.684568131464374]",512,250,Point,4bf58dd8d48988d124941735,Office
251,"[139.7011372447014,35.6916854215186]",514,251,Point,4bf58dd8d48988d116941735,Bar
252,"[139.76383924484253,35.681003987351055]",515,252,Point,4bf58dd8d48988d130941735,Building
253,"[139.76495504379272,35.67872503820433]",517,253,Point,4bf58dd8d48988d1fd941735,Mall
254,"[139.69914972782135,35.66412601921617]",519,254,Point,4bf58dd8d48988d1e0931735,Coffee Shop
255,"[139.69872829266086,35.662389501819874]",520,255,Point,4bf58dd8d48988d1e0931735,Coffee Shop
256,"[139.69131231307983,35.6689505277435]",527,256,Point,4bf58dd8d48988d1fd931735,Subway
257,"[139.688855,35.669627]",528,257,Point,4bf58dd8d48988d129951735,Train Station
258,"[139.71069127321243,35.68859747284611]",529,258,Point,4bf58dd8d48988d1fd931735,Subway
259,"[139.70568895339966,35.67815420136066]",530,259,Point,4bf58dd8d48988d1fd931735,Subway
260,"[139.66055,35.66252408]",531,260,Point,4bf58dd8d48988d129951735,Train Station
261,"[139.71942426283746,35.747816772115584]",533,261,Point,4bf58dd8d48988d1c4941735,Restaurant
262,"[139.69440758228302,35.610444060193295]",534,262,Point,4bf58dd8d48988d129951735,Train Station
263,"[139.68562066555023,35.60743038445974]",535,263,Point,4bf58dd8d48988d129951735,Train Station
264,"[139.69754161065973,35.6894977645]",536,264,Point,4bf58dd8d48988d145941735,Chinese Restaurant
265,"[139.69690203666687,35.53132692901326]",538,265,Point,4bf58dd8d48988d129951735,Train Station
266,"[139.69650506973267,35.532719528043415]",539,266,Point,4bf58dd8d48988d16d941735,Café
267,"[139.7279191017151,35.58843420093637]",541,267,Point,4bf58dd8d48988d129951735,Train Station
268,"[139.71594338364986,35.562330140345466]",542,268,Point,4bf58dd8d48988d129951735,Train Station
269,"[139.64793982270345,35.55323761103362]",543,269,Point,4bf58dd8d48988d1ae941735,University
270,"[139.6684248816744,35.73740228110958]",544,270,Point,4bf58dd8d48988d1ae941735,University
271,"[139.59873855113983,35.64004270002671]",545,271,Point,4bf58dd8d48988d129951735,Train Station
272,"[139.73021507263184,35.66536377097857]",546,272,Point,4bf58dd8d48988d1e2931735,Art Gallery
273,"[139.67936038970947,35.606370555448706]",547,273,Point,4bf58dd8d48988d129951735,Train Station
274,"[139.69607591629028,35.66490615372471]",548,274,Point,4bf58dd8d48988d124941735,Office
275,"[139.70676451921463,35.66695669439118]",549,275,Point,4bf58dd8d48988d1e0931735,Coffee Shop
276,"[139.65417444705963,35.69612488707849]",551,276,Point,4bf58dd8d48988d1d1941735,Ramen /  Noodle House
277,"[139.76090222597122,35.673587359609904]",552,277,Point,4bf58dd8d48988d11b941735,Bar
278,"[139.74003195762634,35.63869992304459]",553,278,Point,4bf58dd8d48988d1fd931735,Subway
279,"[139.63883432529738,35.61191602350847]",554,279,Point,4bf58dd8d48988d129951735,Train Station
280,"[139.6994984149933,35.69103407580367]",558,280,Point,4bf58dd8d48988d16a941735,Bakery
281,"[139.7718134522438,35.66936399678634]",559,281,Point,4bf58dd8d48988d1e0931735,Coffee Shop
